feature,selected_in_folds
Price_Change,4
Price_Change_lag2,4
Price_Change_roll3_mean,4
Price_Change_roll6_mean,4
Stock_Change,4
Stock_Change_lag1,4
Stock_Change_lag2,4
Stock_Change_lag4,4
Stock_Change_roll3_mean,4
Stock_Change_roll6_mean,4
Stock_T_lag4,4
WTI_T,4
WTI_T_lag1,4
WTI_T_lag2,4
WTI_T_lag4,4
drilling_activity_ip,4
dxy_broad_lag1,4
dxy_broad_lag4,4
fed_funds_rate_diff1,4
month,4
month_cos,4
month_sin,4
oil_gas_extraction_ip,4
refinery_utilization_pct,4
refinery_utilization_pct_pct1,4
week_cos,4
week_sin,4
Price_Change_lag1,3
Price_Level,3
Stock_T_pct1,3
drilling_activity_ip_pct1,3
evt_cnt_政策指标,3
fed_funds_rate_pct1,3
Price_Change_lag4,2
cpi_aucsl,2
fed_funds_rate,2
us10y_yield_lag4,2
Stock_T_roll3_mean,1
Stock_T_roll6_std,1
WTI_T_roll6_std,1
drilling_activity_ip_diff1,1
evt_cnt_能源库存指标,1
fed_funds_rate_lag2,1
oil_gas_extraction_ip_diff1,1
us10y_yield,1
us10y_yield_diff1,1
us10y_yield_lag2,1
