Vec_0,Vec_1,Vec_2,Vec_3,Vec_4,Vec_5,Vec_6,Vec_7,Vec_8,Vec_9,Vec_10,Vec_11,Vec_12,Vec_13,Vec_14,Vec_15,Vec_16,Vec_17,Vec_18,Vec_19,Vec_20,Vec_21,Vec_22,Vec_23,Vec_24,Vec_25,Vec_26,Vec_27,Vec_28,Vec_29,Vec_30,Vec_31,Vec_32,Vec_33,Vec_34,Vec_35,Vec_36,Vec_37,Vec_38,Vec_39,Vec_40,Vec_41,Vec_42,Vec_43,Vec_44,Vec_45,Vec_46,Vec_47,Vec_48,Vec_49,Vec_50,Vec_51,Vec_52,Vec_53,Vec_54,Vec_55,Vec_56,Vec_57,Vec_58,Vec_59,Vec_60,Vec_61,Vec_62,Vec_63,Vec_64,Vec_65,Vec_66,Vec_67,Vec_68,Vec_69,Vec_70,Vec_71,Vec_72,Vec_73,Vec_74,Vec_75,Vec_76,Vec_77,Vec_78,Vec_79,Vec_80,Vec_81,Vec_82,Vec_83,Vec_84,Vec_85,Vec_86,Vec_87,Vec_88,Vec_89,Vec_90,Vec_91,Vec_92,Vec_93,Vec_94,Vec_95,Vec_96,Vec_97,Vec_98,Vec_99
0.42345357,0.5596279,0.3487734,-0.0071555255,0.2176269,-0.28527266,0.242363,0.88203686,0.34199244,-0.41440764,0.09457713,-0.7639979,0.06905187,0.19218054,-0.088498846,-0.1583697,-0.1049305,0.19991839,0.096426845,-0.40020847,0.057709955,0.37534866,-0.03346584,-0.12716536,0.18055019,-0.7671873,-0.40598816,-0.17406535,-0.29930243,0.024166798,-0.22161457,0.54094577,-0.017233262,-0.023190297,-0.7818452,0.6352695,0.46626797,-0.6785704,-0.4831242,-0.035052612,-0.071374156,0.090381846,0.33958742,-0.5980474,0.17705116,-0.040224575,-0.08401808,0.50901955,0.15483125,0.5243175,1.157252,-0.52132297,-0.64496493,0.35064405,-0.4793659,0.43638983,0.61461884,-0.59236157,-0.033203494,-0.15296328,-0.18819535,0.026830126,-0.47160268,0.35641438,-0.7890409,0.40221906,-0.4064127,0.3752764,-0.30651206,0.0025990903,-0.37533158,0.057869684,0.3780858,-0.5301668,-0.59796304,0.025821418,-0.16975339,-0.27962396,-0.56957614,0.583143,0.22255214,-0.07749461,0.27266496,0.2943483,-0.09569685,0.21835954,-0.23951657,0.45970425,-0.001947777,0.17710936,0.20451458,0.36366564,-0.34006584,-0.11305211,0.32693332,-0.16137524,-0.18254864,-0.19881989,0.14852019,-0.28350988
-0.29896826,0.3077615,-0.006812918,-0.20287399,-0.31213078,-0.44910386,0.5676146,0.4143784,-0.079138264,0.1292634,0.006964701,-0.060664326,-0.13945575,-0.39372596,-0.099561125,-0.07761249,0.34477746,-0.17348096,-0.26924577,-0.33847982,-0.39705122,0.29429543,-0.15163088,-0.28822348,-0.516526,-0.21134543,-0.12913144,-0.10217926,-0.34854722,-0.0025296598,0.6964199,0.4703052,0.18373947,0.40283242,-0.5087904,-0.3701191,0.45081362,-0.6588032,0.15567127,-0.21163,-0.4442839,0.18576247,-0.23579426,-0.68547773,0.47170854,-0.09831087,-0.38032648,0.04656817,0.00362978,-0.20460767,0.19775009,-0.31479922,-0.16961104,-0.26731315,-0.14245461,0.6422134,0.039456315,-0.22341168,-0.32698214,0.64901584,0.29520538,-0.5347543,-0.31619307,-0.082810774,-0.7701118,0.045805965,-0.24899466,-0.23707291,-0.017764505,0.60479045,-0.3693696,-0.2775724,0.038065895,-0.18079515,-0.17909224,-0.35870263,0.109666504,-0.25032094,-0.53815615,-0.03730731,0.45542276,-0.20869833,-0.14558779,0.82984936,0.15983091,-0.05752262,-0.31480265,0.11786392,0.251949,0.014009658,0.5714479,0.17724186,0.2349419,-0.4167572,0.795058,-0.010644997,0.0943164,-0.51908165,0.20180428,-0.48320737
-0.2646777,-0.34571013,0.08427611,0.100250445,0.30936366,-0.6574808,0.1215608,0.47414827,0.45323923,0.60574406,0.61270416,-0.31368542,-0.30399787,0.2076976,0.042972207,-0.012596335,-0.042188443,-0.09514671,-0.08680987,-1.0455506,-0.042289868,0.37016976,0.17056869,-0.15506609,0.26456532,-0.2755333,-0.35830078,0.115471005,-0.31724596,0.06243272,0.2516315,0.55261266,0.16916099,-0.5284029,-0.30571535,0.078979716,0.7142882,-0.34543774,0.21319535,-0.3865958,-0.6278206,-0.41262162,-0.15678261,-0.08998472,0.68547904,-0.21225405,0.21617585,0.33465534,0.4725089,0.45662892,0.36608368,-0.4061049,-0.216609,0.1733189,-0.34329745,0.6918203,-0.03541551,-0.020553568,0.16702376,0.7265876,-0.083034724,0.06394017,0.053130288,0.030164314,-0.46456778,-0.087514624,-0.36904693,0.8502591,-0.15844314,0.13008362,-0.9133094,-0.20705111,0.19632342,-0.55261576,0.04636718,0.113152586,0.50649387,-0.23126183,-0.38857135,0.58184695,0.6929451,0.24712181,0.2656007,-0.20426482,0.16761766,-0.30325794,-0.43625155,0.63674295,-0.36194432,0.35782906,0.059374884,0.10364877,0.3256313,0.11097666,0.56967163,0.17280835,0.495453,0.23121786,0.25884128,0.12842566
-0.08999894,-0.075843334,0.4371952,0.40658468,0.43212193,-0.18151572,0.46066627,0.51568216,-0.4142632,0.029087547,0.42746606,-0.5203383,-0.3717166,0.4459653,-0.2708659,0.18797925,-0.43805346,0.36331642,0.35637122,-0.3334845,-0.1558825,0.25549144,0.18487708,-0.063962035,0.058361523,-0.78478503,0.049095206,-0.3473829,-0.4526524,0.011410324,0.14544931,0.43862835,0.37267593,0.09882645,-0.34008834,0.04842118,1.052326,-0.8580872,-0.28359836,-0.59393495,-0.39583018,-0.19092596,-0.033590246,-0.17267635,0.23845024,0.23378949,-0.3308658,0.44698396,0.053301252,-0.0445232,1.164789,-0.4920988,-0.43448144,-0.01162492,-0.7471194,1.0705488,0.119372524,-0.6115025,-0.3734828,0.39181215,0.050837003,-0.075502336,-0.20228069,0.34478778,-0.69214225,-0.18649277,-0.6145612,0.23327346,-0.3622349,0.21907301,-0.6028682,0.0023433208,0.7496943,-0.6681801,-0.27992374,-0.051528938,0.34369123,-0.70430213,-0.41595888,0.079922624,0.24988334,-0.5003106,-0.07755124,0.047698356,0.14245245,-0.38494235,-0.3842821,0.5786364,-0.2844778,0.68756425,0.57705677,0.86293525,0.0104249995,0.47093773,0.562091,0.5186536,0.07173187,0.6831037,0.19910684,0.08108236
-0.18970416,0.2731488,0.118988924,-0.23890425,-0.17474845,-0.39214835,0.5715028,0.30349132,0.08795469,0.42192405,0.17089136,-0.040058773,-0.013296,-0.2660776,-0.26840213,-0.23972878,0.24653102,0.20337741,-0.11052929,-0.31050166,-0.3741763,0.42728096,-0.20438622,-0.3360629,-0.5063013,-0.28797987,0.0110196965,0.00402774,-0.3455346,-0.014701777,0.61353236,0.54366577,0.2904577,0.510495,-0.4588799,-0.5329224,0.4066066,-0.3328104,0.24229194,-0.1457667,-0.39747307,-0.060756903,-0.16896583,-0.6887334,0.56086355,-0.058147795,-0.018669639,0.12909213,-0.0068755895,-0.24053751,0.33110288,-0.44693723,-0.20455866,-0.12946382,-0.18388546,0.7284592,0.049128003,-0.08040358,-0.30517286,0.48124787,0.4299815,-0.3042925,-0.14639245,0.05869608,-0.56034696,-0.016536083,-0.45798868,-0.17371368,0.023166092,0.5827655,-0.46866274,-0.54918844,0.33738682,-0.2541534,-0.17850101,-0.30337557,-0.06327398,-0.26132512,-0.22453012,-0.106869236,0.6079922,-0.51626194,-0.37828043,0.69148403,0.37557203,-0.2856702,-0.3745463,0.045060642,0.059971657,0.18413149,0.51617986,0.23900788,0.15040144,-0.2747125,0.71158355,-0.2915557,0.24758863,-0.2867269,0.17076862,-0.49373746
-0.45275578,0.22911933,0.24104391,0.13910836,0.27950156,-0.28194842,0.5118783,0.7563187,0.26220772,0.14233871,0.4734477,-0.1696235,0.031682268,0.16416904,-0.5029523,-0.28385624,0.02968817,0.25908962,-0.012095372,-0.22301376,0.14361744,0.45873296,0.20195453,-0.33025956,-0.4234982,-0.34188193,0.17089781,-0.09843085,-0.6306428,0.3000094,0.24126002,0.51269066,-0.01989391,-0.102839336,-0.45304552,0.1398047,0.24305904,-0.45904574,0.07783281,-0.120436884,-0.042376213,0.051288627,0.18750663,-0.6941911,0.46675682,-0.09240869,0.17451823,0.22496964,0.43982702,-0.09297899,0.79013664,-0.68663335,-0.19251794,-0.030378947,-0.11475431,0.09557225,0.13358974,-0.33407864,-0.22711924,-0.06954314,-0.07111044,0.27811554,-0.18038563,0.22436139,-0.58969915,0.12397398,0.28747308,0.70194846,-0.09913038,-0.054382864,-0.6634696,-0.8922081,0.0822642,-0.05417864,-0.3442074,-0.102992624,-0.34242836,-0.18578036,-0.11221392,0.26163867,0.308067,-0.358231,-0.14899822,0.60176164,0.4399897,0.15811917,-0.012451194,0.22502677,0.4078819,0.28962076,0.48362106,0.4251747,-0.01633612,0.029878628,0.37461582,-0.24199842,-0.15475841,-0.18596375,0.41695976,-0.5011023
0.2418079,0.54390067,0.42369762,-0.029656645,0.4711136,-0.009965874,0.38139352,0.6352119,0.06636538,-0.49212757,-0.11337165,-0.72605646,0.23276399,0.2629869,-0.107791826,-0.25254315,-0.31441087,0.10620767,0.038595017,-0.14068936,0.10479198,0.27062997,0.11050081,-0.082909085,0.12753984,-0.6075795,-0.18092239,-0.31093436,-0.32598117,0.11137588,-0.1121368,0.33893403,-0.065871835,-0.17129335,-0.7588163,0.6323287,0.19133814,-0.4997057,-0.32131168,-0.044036023,0.009315195,0.119465165,0.18647487,-0.46536517,0.035072044,0.07660813,-0.016573276,0.4176265,0.13009596,0.32926384,0.969147,-0.47453126,-0.46449015,0.09554951,-0.28940955,0.112043254,0.46407756,-0.46441403,-0.28057548,-0.023904672,0.045182828,-0.0056692646,-0.3325969,0.4605372,-0.85020626,0.038275763,-0.073146276,0.3364157,-0.38462457,0.1668146,-0.3383406,-0.043192126,0.3181056,-0.41136304,-0.5537023,-0.08225458,-0.36782432,-0.07550774,-0.19846658,0.28227907,0.100957096,-0.3073164,-0.036100276,0.2599576,0.08939701,0.23224325,0.16284303,0.40431404,0.31222075,0.2640594,0.4667593,0.5970821,-0.3408115,0.15553947,0.003842171,-0.13117206,-0.26046258,-0.1697033,0.21420632,-0.3933815
-0.29235893,0.22548667,0.060688652,-0.24769825,-0.06647979,-0.37643373,0.60328853,0.43804282,-0.11178112,0.3512886,0.08676703,-0.06645981,-0.018851316,-0.054457393,-0.41631728,-0.33353055,0.1115772,0.16263025,-0.20667103,-0.2590186,-0.3824126,0.4465492,-0.2593214,-0.2895331,-0.51776886,-0.44633216,0.01573962,-0.04443012,-0.41468397,-0.091448575,0.6812402,0.4423801,0.26442724,0.3884938,-0.4419773,-0.56411666,0.55023813,-0.35168818,0.35019872,-0.095828466,-0.5141125,0.07950575,-0.32189006,-0.59489733,0.5440165,0.030391961,-0.071233876,0.25395086,0.13284837,-0.3996723,0.47073892,-0.37423176,-0.24306855,-0.22038108,-0.19090544,0.7011952,0.005109764,-0.14115766,-0.3242491,0.72352093,0.42543793,-0.40902615,-0.109699115,0.15025009,-0.5989924,-0.17167966,-0.37629268,-0.16913936,0.028459521,0.4393708,-0.5677353,-0.5706716,0.15193793,-0.38748983,-0.096319884,-0.39931187,-0.035988726,-0.18519261,-0.29999807,-0.22658518,0.44721216,-0.4160702,-0.31828964,0.6788669,0.40531036,-0.3384323,-0.13955578,0.08991667,0.20293674,0.22217162,0.60438216,0.33523992,0.39164293,-0.201077,0.6752351,-0.26256028,0.27368826,-0.23337863,0.33359924,-0.46119893
-0.12287518,0.44549942,0.599803,0.45067933,0.31426278,-0.10399475,0.16546685,0.8995765,0.13866799,-0.102834165,-0.11693151,-0.31523463,0.5618288,0.23785084,-0.23648877,-0.4544178,-0.08864229,0.6182365,0.16915236,-0.55708444,0.074508935,0.27879798,0.084667824,-0.015046495,0.19582605,-0.5779791,-0.54721314,-0.15802449,-0.28582656,0.555435,-0.16441455,0.8794151,0.26287973,-0.053889263,-0.719342,0.11880049,-0.09918315,-0.719439,-0.21794763,-0.6388896,0.15595512,-0.34938344,-0.19402212,-0.242082,0.4635853,0.09864996,0.13745892,0.11197227,0.07777147,0.0132898865,0.9027333,-0.7612462,-0.5343161,0.4599399,0.008086174,0.55956954,0.07458064,-0.8605866,-0.29132906,-0.2826483,-0.17361516,0.34962282,-0.5632659,0.17011283,-0.9032996,-0.0086027505,-0.19184783,0.35199058,-0.577853,0.02685213,-0.56560445,-0.09007312,0.39951217,-0.28326747,-0.48191607,0.32574025,-0.46050116,-0.4400427,-0.3184866,0.061780315,0.66594833,-0.20283218,0.37989113,0.28349867,0.28806752,0.18022619,-0.17331748,0.39086923,0.15867615,0.34571096,0.48502907,0.3001171,-0.41927627,0.17509057,0.095049545,-0.19274272,-0.3276375,-0.14561449,0.24286948,-0.6581905
-0.42341033,0.073359154,0.1939671,-0.010451362,0.10090763,-0.3040183,0.1949542,0.41480374,0.1549463,0.11854339,0.121619076,-0.055495422,-0.04425736,-0.09227925,-0.19181095,-0.041184556,-0.09312578,-0.0491567,-0.13952644,-0.21407413,-0.07877342,0.33909285,0.004952134,-0.2556679,-0.2777628,-0.16751659,0.0656948,-0.15721057,-0.5635601,0.103812285,0.069935605,0.2702749,0.05725062,-0.20753263,-0.33281943,0.20011002,0.09939162,-0.24149458,-0.07449559,0.008979746,-0.14856584,0.12745458,0.14978679,-0.18302341,0.37717488,0.00029814988,-0.31066653,0.17241664,0.3541449,0.097927414,0.2413016,-0.1931038,-0.088986635,-0.04683413,-0.015066557,0.023207253,-0.02369831,-0.064688504,-0.19536306,0.22378516,-0.1656688,-0.02957938,0.010459885,-0.015934838,-0.4643943,0.121141225,0.23110385,0.46363667,-0.045055706,-0.054069694,-0.38337806,-0.22111244,-0.021562219,-0.22197104,0.11546401,-0.080696315,0.049440134,-0.13434748,-0.3026707,0.2802811,0.03794226,0.22442622,0.088190995,0.29911527,0.08407464,0.06481241,-0.024854919,0.33070433,0.29146436,0.005364546,0.31355467,0.4056683,0.15729553,0.07173043,0.093672894,0.09090502,0.027674586,-0.24223097,0.3206406,-0.19072197
